date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:37:05	42602/42602	---MCZ	200	added ('OK')	text/html	date:Sun,%2003%20Sep%202023%2014:37:05%20GMT	https://wevitation.com/Aditya-Rusiana/2304890485	C:/My%20Web%20Sites/sidik/wevitation.com/Aditya-Rusiana/2304890485.html	(from )
21:37:06	24/24	---M--	200	added ('OK')	text/plain	etag:%2218-5d4f7b72e1ea6%22	https://wevitation.com/robots.txt		(from )
21:37:06	74625/74625	---MC-	200	added ('OK')	image/jpeg	date:Sun,%2003%20Sep%202023%2014:37:06%20GMT	https://wevitation.com/Aditya-Rusiana/og/thumbnail	C:/My%20Web%20Sites/sidik/wevitation.com/Aditya-Rusiana/og/thumbnail.jpg	(from https://wevitation.com/Aditya-Rusiana/2304890485)
21:37:06	25274/25274	---MCZ	200	added ('OK')	text/css	etag:W/%2262cb-602e3bb464d5a-gzip%22	https://wevitation.com/assets/plugins/custom/fullcalendar/fullcalendar.bundle.css	C:/My%20Web%20Sites/sidik/wevitation.com/assets/plugins/custom/fullcalendar/fullcalendar.bundle.css	(from https://wevitation.com/Aditya-Rusiana/2304890485)
21:37:06	4507/4507	---MCZ	200	added ('OK')	text/css	etag:W/%221659-602e3bb45ff3a-gzip%22	https://wevitation.com/assets/plugins/custom/flipdown/dist/flipdown.css	C:/My%20Web%20Sites/sidik/wevitation.com/assets/plugins/custom/flipdown/dist/flipdown.css	(from https://wevitation.com/Aditya-Rusiana/2304890485)
21:37:07	5949/5949	---M-Z	200	added ('OK')	text/css	etag:%22173d-602e3bb491c19-gzip%22	https://wevitation.com/assets/plugins/custom/splide/dist/css/splide.min.css	C:/My%20Web%20Sites/sidik/wevitation.com/assets/plugins/custom/splide/dist/css/splide.min.css	(from https://wevitation.com/Aditya-Rusiana/2304890485)
21:37:07	344760/344760	---MCZ	200	added ('OK')	text/css	etag:W/%2260e34-602e3bb4e6b78-gzip%22	https://wevitation.com/assets/plugins/global/plugins.bundle.css	C:/My%20Web%20Sites/sidik/wevitation.com/assets/plugins/global/plugins.bundle.css	(from https://wevitation.com/Aditya-Rusiana/2304890485)
21:37:07	1086540/1086540	---MCZ	200	added ('OK')	text/css	etag:W/%22133e5a-602e3bb3a27fe-gzip%22	https://wevitation.com/assets/css/style.bundle.css	C:/My%20Web%20Sites/sidik/wevitation.com/assets/css/style.bundle.css	(from https://wevitation.com/Aditya-Rusiana/2304890485)
21:37:07	491/491	---MCZ	200	added ('OK')	text/css	etag:W/%22296-602e3bb39f91e-gzip%22	https://wevitation.com/assets/css/custom.css	C:/My%20Web%20Sites/sidik/wevitation.com/assets/css/custom.css	(from https://wevitation.com/Aditya-Rusiana/2304890485)
21:37:30	343/343	---MCZ	200	added ('OK')	text/css	etag:W/%2219b-602e3bb71936e-gzip%22	https://wevitation.com/themes/photovit/css/variable.css	C:/My%20Web%20Sites/sidik/wevitation.com/themes/photovit/css/variable.css	(from https://wevitation.com/Aditya-Rusiana/2304890485)
